id,name,price,description,stock,category
1,Gaming Laptop,999.99,"15.6-inch gaming laptop featuring NVIDIA RTX 3060 graphics, 16GB RAM, 1TB SSD, and a 144Hz display. Perfect for modern gaming and content creation with advanced cooling system and RGB keyboard.",50,Electronics
2,Coffee Maker,79.99,"Programmable 12-cup coffee maker with built-in grinder, multiple brew strength settings, and keep-warm function. Features anti-drip system and reusable filter. Includes auto-shutoff for safety.",100,Appliances
3,Running Shoes,89.99,"Lightweight running shoes with responsive cushioning technology, breathable mesh upper, and superior arch support. Designed for both long-distance running and daily training. Features reflective elements for night visibility.",75,Sports
4,Backpack,45.50,"Water-resistant 30L backpack with padded laptop compartment, multiple organization pockets, and hidden anti-theft pocket. Ergonomic design with adjustable shoulder straps and breathable back panel.",200,Accessories
5,Smartphone,699.99,"Latest generation smartphone with 6.7-inch OLED display, 5G capability, triple camera system (48MP main + 12MP ultra-wide + 12MP telephoto), 256GB storage, and all-day battery life.",30,Electronics
6,Yoga Mat,25.99,"Extra-thick 6mm eco-friendly yoga mat with alignment lines for proper positioning. Double-sided non-slip surfaces, excellent cushioning for joints, and includes carrying strap. Perfect for yoga, pilates, and floor exercises.",150,Sports
7,Desk Lamp,34.99,"Modern LED desk lamp with 5 color modes and 7 brightness levels. Features flexible gooseneck, touch controls, USB charging port, and auto-off timer. Memory function saves your preferred settings.",80,Home
8,Water Bottle,19.99,"Vacuum-insulated stainless steel water bottle that keeps drinks cold for 24 hours or hot for 12 hours. Leak-proof lid, wide mouth for easy cleaning, and powder-coated exterior for better grip.",300,Accessories
9,Headphones,159.99,"Premium wireless headphones with active noise cancellation, 30-hour battery life, and high-resolution audio. Features multi-device connectivity, touch controls, and foldable design for easy transport.",60,Electronics
10,Plant Pot,15.99,"Minimalist ceramic plant pot with drainage hole and bamboo saucer. Perfect for indoor plants, features glazed interior to prevent water seepage and matte exterior finish. Available in multiple sizes.",120,Home
11,Protein Powder,29.99,"Premium whey protein isolate with 25g protein per serving, enhanced with BCAAs and digestive enzymes. Low in sugar and carbs, mixes instantly, and available in multiple natural flavors.",90,Health
12,Book Stand,22.50,"Adjustable bamboo book stand with 6 height levels and 3 reading angles. Perfect for cookbooks, textbooks, and tablets. Folds flat for easy storage and features page holder clips.",40,Office
13,Smart Watch,199.99,"Advanced fitness smartwatch with built-in GPS, heart rate monitoring, sleep tracking, and blood oxygen measurement. Features 14-day battery life, 20+ sport modes, and smartphone notifications.",45,Electronics
14,Cutting Board,18.99,"Premium end-grain bamboo cutting board with juice grooves and handles. Naturally antimicrobial, knife-friendly surface with reversible design. Pre-seasoned with food-grade mineral oil.",85,Kitchen
15,Sunglasses,89.99,"Polarized sunglasses with UV400 protection and scratch-resistant lenses. Lightweight yet durable frame made from recycled materials. Includes protective case and microfiber cleaning cloth.",70,Accessories